film_id;remote_film_id;name;budget;popularity;release_date;revenue;vote_average;vote_count;Action;Adventure;Animation;Comedy;Crime;Documentary;Drama;Family;Fantasy;History;Horror;Mystery;Romance;Science Fiction;TV Movie;Thriller;War;Western;Music
83;100;Lock, Stock and Two Smoking Barrels;1350000;5.572;1998;28356188;7.9;2575;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;832;M;0;9.636;1931;0;8.1;743;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
85;24238;Mary and Max;590235;8.339;2009;1725381;7.8;872;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
86;77;Memento;9000000;13.108;2000;39723096;8.2;6858;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
87;19;Metropolis;92620000;9.704;1927;650422;8.2;1025;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
88;70;Million Dollar Baby;30000000;11.777;2004;216763646;7.9;4195;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
89;3082;Modern Times;1500000;6.751;1936;8500000;8.3;1504;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
90;128;Mononoke-hime;26500000;15.743;1997;159375308;8.3;3252;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
91;585;Monsters, Inc.;115000000;18.957;2001;562816256;7.7;9566;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
92;762;Monty Python and the Holy Grail;400000;14.012;1975;5028948;7.8;2662;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
93;583;Monty Python's Life of Brian;4000000;9.482;1979;20045115;7.8;1866;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;3083;Mr. Smith Goes to Washington;1500000;7.103;1939;9600000;8.0;395;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
95;322;Mystic River;25000000;11.764;2003;156822020;7.7;2562;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0
96;10774;Network;3800000;6.698;1976;23689877;8.0;611;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
97;6977;No Country for Old Men;25000000;14.75;2007;171627166;7.9;5051;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
98;213;North by Northwest;4000000;10.679;1959;13275000;7.9;1632;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
99;303;Notorious;2000000;9.698;1946;24464742;7.8;566;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
100;11216;Nuovo Cinema Paradiso;0;9.172;1988;11990401;8.4;1465;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
